Tech #,Technology,Technology subcategory,Technology type,Units,Region,Country,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Indicator
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,Austria,130133.5,129617.66666666669,129101.83333333333,128586.0,127834.90476839371,127088.196826593,126345.85054760541,125607.84045413062,124874.14121768606,124144.72765773756,123419.57474083533,122698.65757975467,121981.95143264186,121269.43170216505,120561.07393467013,119856.85381934136,119156.74718736712,118460.73001111037,117768.7784032841,117080.86861613148,116396.97704061081,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,Belgium,68406.0,68456.70611168588,68507.44980939873,68558.23112099932,68609.05007436902,68659.90669740988,68710.80101804463,68761.7330642167,68812.70286389026,68863.71044505014,68914.75583570199,68965.83906387218,69016.96015760786,69068.11914497697,69119.31605406826,69170.55091299128,69221.82374987646,69273.13459287505,69324.48347015916,69375.87040992182,69427.2954403769,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,Bulgaria,228207.5,228655.3972053728,229104.1734874919,229553.83057169948,230004.3701867239,230455.7940646866,230908.10394110848,231361.3015549168,231815.38864845168,232270.366967473,232726.23826116693,233183.00428215266,233640.66678648937,234099.22753368263,234558.6882866915,235019.0508119351,235480.31687929938,235942.48826214415,236405.56673730962,236869.5540851234,237334.4520894074,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,Croatia,61575.0,61911.33944303909,62248.339011168704,62586.0,62386.589474152104,62187.814306975764,61989.67247410122,61792.161957608725,61595.28074600796,61399.02683421761,61203.39822354493,61008.392921665334,60814.00894260222,60620.24430670659,60427.09704063705,60234.56517733957,60042.64675602757,59851.33982216186,59660.642427430794,59470.55262973039,59281.068493144565,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,Cyprus,6707.0,6635.640147841855,6564.140239470143,6492.5,6605.142915560691,6719.740151710679,6836.325615322375,6954.933801542189,7075.599803996916,7198.359325177181,7323.248687001046,7450.304841560891,7579.565382056748,7711.068553919321,7844.853266125995,7980.959102713172,8119.426334488334,8260.295930945327,8403.609572386342,8549.40966225424,8697.739339678816,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,Czechia,174628.5,175104.89770764788,175582.23042927159,176060.5,176209.89486363393,176359.41649519867,176509.0650022622,176658.84049248384,176808.7430736142,176958.77285349538,177108.92994006095,177259.21444133605,177409.62646543756,177560.166120574,177710.83351504582,177861.62875724523,178012.55195565656,178163.6032188561,178314.7826555123,178466.09037438582,178617.52648432963,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,Denmark,131496.5,131412.14836696393,131327.85084333757,131243.6073944111,131159.41798549707,131075.28258193014,130991.20114906724,130907.1736522876,130823.20005699259,130739.28032860579,130655.41443257296,130571.60233436202,130487.84399946305,130404.13939338825,130320.48848167197,130236.89122987067,130153.34760356287,130069.85756834921,129986.42108985235,129903.03813371705,129819.70866561009,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,Estonia,48766.0,48816.699181937845,48867.36584165045,48918.0,49023.490464376606,49129.20841634622,49235.15434648023,49341.32874640795,49447.73210881887,49554.36492746496,49661.22769716295,49768.320913796626,49875.645074319145,49983.20067675532,50090.98822020395,50199.008204840124,50307.261131917556,50415.74750377089,50524.467823818035,50633.42259656254,50742.612327595874,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,Finland,114085.5,113742.82958229953,113401.18841910703,113060.57341892466,112720.98149954037,112382.40958799986,112044.85462057889,111708.3135427555,111372.78330918233,111038.26088365918,110704.74323910543,110372.2273575327,110040.71023001749,109710.18885667401,109380.66024662704,109052.12141798479,108724.569397812,108398.00122210298,108072.4139357548,107747.8045925406,107424.17025508288,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,France,1368231.5,1365500.1375501484,1362776.9790974008,1360062.0,1357399.9335327367,1354743.0775616684,1352091.4218882255,1349444.9563338,1346803.6707397066,1344167.5549671436,1341536.5988971544,1338910.7924305885,1336290.125488062,1333674.5880099197,1331064.1699561968,1328458.861306579,1325858.652060366,1323263.5322364308,1320673.4918731833,1318088.521028531,1315508.6097798417,market_potential
